Level:	Hero:	  Score:      Date: 
test	jasper	64	3-5-2018 22:20:13
test	Roos	  27	 3-5-2018 22:38:34
easy	test	  19	 4-5-2018 12:28:38
easy	tester	  169	 4-5-2018 12:37:12
easy	Jasper	  68	 7-5-2018 17:55:49
easy	Jasper	  89	 7-5-2018 17:56:48
hard	Jasper	  88	 7-5-2018 18:00:16
easy	17039886	  52	 7-5-2018 18:04:11
